feature,raw_rank_ic_mean,direction,oriented_rank_ic_mean,positive_day_ratio,nonzero_window_ratio,passes_stability,diagnostic_selected_under_current_contract,selected
factorlib__amount,-0.05361921585730789,-1.0,0.05361921585730789,0.6178082191780822,0.8529411764705882,True,True,True
factorlib__atr_14,-0.01727152653245244,-1.0,0.01727152653245244,0.536986301369863,0.9705882352941176,False,False,True
factorlib__bias_20,-0.04082986874640181,-1.0,0.04082986874640181,0.6013698630136987,0.7647058823529411,True,True,True
factorlib__cci_14,-0.028817905575835013,-1.0,0.028817905575835013,0.5958904109589042,0.9411764705882353,True,True,True
factorlib__float_market_cap,-0.0029748222321233234,-1.0,0.0029748222321233234,0.48356164383561645,0.8529411764705882,False,False,True
factorlib__kdj_d_9_3_3,-0.02279529716928411,-1.0,0.02279529716928411,0.5780821917808219,1.0,True,True,True
factorlib__macd_diff_12_26_9,-0.02685433917572263,-1.0,0.02685433917572263,0.5794520547945206,0.9411764705882353,True,True,True
factorlib__macd_hist_12_26_9,-0.02348307469857501,-1.0,0.02348307469857501,0.5561643835616439,0.9117647058823529,True,True,True
factorlib__momentum_5,-0.036925258572503374,-1.0,0.036925258572503374,0.6082191780821918,0.9411764705882353,True,True,True
factorlib__net_profit_rate_ttm,0.011953228188064755,1.0,0.011953228188064755,0.5602739726027397,1.0,True,True,True
factorlib__netflow_amount_rate_main,-0.022247270815489367,-1.0,0.022247270815489367,0.6136986301369863,1.0,True,True,True
factorlib__total_market_cap,-0.00872240878152717,-1.0,0.00872240878152717,0.4904109589041096,0.9117647058823529,False,False,True
factorlib__turn,-0.05713869867946523,-1.0,0.05713869867946523,0.6561643835616439,0.7941176470588235,True,True,True
factorlib__volatility_5,-0.04053701729205642,-1.0,0.04053701729205642,0.6219178082191781,1.0,True,True,True
factorlib__volume,-0.04612672632690368,-1.0,0.04612672632690368,0.6506849315068494,0.9411764705882353,True,True,True
