candidate_id,period,variant,label,rank_ic_mean,rank_ic_ir,rank_ic_positive_rate,rank_ic_t_stat,group_monotonicity,long_short_mean,long_short_sharpe,long_short_max_drawdown,stress_ic_ir,up_market_ic,down_market_ic,observations
PV-001,development,raw_full,ret_close_to_close,-0.0104788041390923,-0.091021344535284,0.45,-2.4423589654118887,0.0999999999999999,0.0008569964711935,1.7151360322038014,-0.0868130457775695,0.1391308293964803,-0.0317062241621722,0.0146081467972747,720.0
PV-001,development,raw_full,ret_next_open_to_close,-0.0193626919613352,-0.1834294167450084,0.4125,-4.9219277389797265,-1.0,-0.001189838508815,-2.608724312022884,-0.8504335002119635,-0.0628640370698069,-0.0375012561778563,0.0056002825544709,720.0
PV-001,development,raw_full,ret_close_to_next_open,0.0029461297713262,0.026876451299301,0.4958333333333333,0.721170865190396,0.7,0.0020693912064343,9.347678636612033,-0.0164524360284414,0.5469586762635857,0.0062277756417629,-2.297839716415819e-05,720.0
PV-001,development,neutral_full,ret_close_to_close,-0.0145990566041847,-0.1824450892667584,0.4152777777777778,-4.895515461137869,0.0,0.0004889704599251,1.5537111496394256,-0.1374544065184211,0.0971471296421456,-0.0299130195683608,0.0034992632625689,720.0
PV-001,development,neutral_full,ret_next_open_to_close,-0.0188694505282998,-0.2742647163839556,0.3763888888888889,-7.359294595970702,-1.0,-0.0011879761180319,-4.267889199048347,-0.8566790444033264,-0.1253676850168012,-0.0323821811453415,-0.0002727222533611,720.0
PV-001,development,neutral_full,ret_close_to_next_open,-0.0070292516695057,-0.0766219654160396,0.4416666666666666,-2.0559830788788327,0.7,0.001693576562862,9.474669984732312,-0.0121842266056119,0.5150957608360739,-0.0020565936276791,-0.0115283232311583,720.0
PV-001,development,raw_tradable,ret_close_to_close,-0.0116356528490771,-0.0958658508633508,0.4430555555555555,-2.5723507110157136,0.1999999999999999,0.0010125986385596,1.6985490726417234,-0.1097536006732888,0.1222015959604366,-0.0312444199021712,0.0123306179935934,720.0
PV-001,development,raw_tradable,ret_next_open_to_close,-0.0221965369265873,-0.195936043767932,0.4041666666666667,-5.257515757289642,-1.0,-0.0013181154798317,-2.4103060906355194,-0.9443866682049654,-0.027165202372958,-0.0424882612286178,0.0047934264654337,720.0
PV-001,development,raw_tradable,ret_close_to_next_open,0.0041247980308401,0.0333494198618602,0.4930555555555556,0.8948588378556145,0.7,0.0023587896736213,8.573904734546248,-0.0216128899965999,0.6015343173327621,0.0098681195043434,-0.0010715404451867,720.0
PV-001,validation_2022,raw_full,ret_close_to_close,-0.013400560267067,-0.0938235881270615,0.4586776859504132,-1.4595524987977753,0.0999999999999999,0.0005359037331041,0.9545815107403096,-0.1811852795362345,0.1992949687298251,-0.0252061993791925,-0.0007876979677875,242.0
PV-001,validation_2022,raw_full,ret_next_open_to_close,-0.0121402029851505,-0.0889009785987234,0.4669421487603306,-1.3829746660681048,-0.7,-0.0004909607277055,-0.9252024241299716,-0.2252417835451998,0.0747675931076342,-0.0269330964241171,0.0071610008352152,242.0
